Periodo,Tipo,Asignatura,GRUPO,PE,Semestre,Horas_a_la_semana,Modalidad,Hr_Pres,Hr_Pres2,Hr_N_P,Creditos,Modelo,Nombres,Apellidos,Cupo,LIC_MEFI,LCC_MEFI,LIS_MEFI,LA_MEFI,LEM_MEFI,LM,Lunes,Aula1,Martes,Aula2,Miercoles,Aula3,Jueves,Aula4,Viernes,Aula5
Verano 2025,Obligatoria,Circuitos Electrónicos I,,IC(2013),5,7.5,Acompañamiento,36,72,56,8,MEFI,Johan Jair,Estrada López,20,20,,,,,,11:00 - 13:30,Laboratorio de electrónica,11:00 - 13:30,Laboratorio de electrónica,,,11:00 - 13:30,Laboratorio de electrónica,,
Verano 2025,Obligatoria,Cálculo Univariable,,A(2014),2,10.0,Acompañamiento,48,96,80,11,MEFI,Jorge Carlos,Lugo Jiménez,20,,,,20,,,08:00 - 10:30,C7,08:00 - 10:30,C7,08:00 - 10:30,C7,08:00 - 10:30,C7,,
Verano 2025,Obligatoria,Microeconomía,,A(2014),3,5.0,Acompañamiento,24,48,32,5,MEFI,Daniel Abraham,Adrián Osorio,20,,,,20,,,,,08:30 - 11:00,C9,,,08:30 - 11:00,C9,,
Verano 2025,Obligatoria,Lógica y Conjuntos,,M(2024),3,10.0,Ordinario,48,48,32,5,MEFI,Alejandro Waldemar,Cobá Magaña,10,,,,,,10,08:00 - 10:30,C2,08:00 - 10:30,C2,08:00 - 10:30,C2,08:00 - 10:30,C2,,
Verano 2025,Obligatoria,Álgebra Lineal,,A(2014),3,15.0,Regular/Acompañamiento,72,72,72,9,MEFI,Alejandro,Argáez García,30,,,,30,,,11:00 - 14:00,C9,11:00 - 14:00,C9,11:00 - 14:00,C9,11:00 - 14:00,C9,11:00 - 14:00,C9
Verano 2025,Obligatoria,Álgebra Superior,,IS(2016)-CC(2016),"2, 1",15.0,Regular/Acompañamiento,72,72,56,8,MEFI,Pedro David,Sánchez Salazar,35,,25,10,,,,08:00 - 11:00,H3,08:00 - 11:00,H3,08:00 - 11:00,H3,08:00 - 11:00,H3,08:00 - 11:00,H3
Verano 2025,Obligatoria,Álgebra Superior I,,A(2014),1,12.5,Regular/Acompañamiento,60,60,20,6,MEFI,Victor Manuel,Bautista Ancona,30,,,,30,,,08:00 - 10:30,C1,08:00 - 10:30,C1,08:00 - 10:30,C1,08:00 - 10:30,C1,08:00 - 10:30,C1
Verano 2025,Obligatoria,Arquitectura y Organización de Computadoras,,CC(2016)-IS(2016),"4, 3",15.0,Regular/Acompañamiento,72,72,56,8,MEFI,Fernando del Carmen,Cobá Arias,30,,15,26,,,,14:00 - 17:00,CC8,14:00 - 17:00,CC8,14:00 - 17:00,CC8,14:00 - 17:00,CC8,14:00 - 17:00,CC8
Verano 2025,Obligatoria,Física,,IC(2013),3,15.0,Regular/Acompañamiento,72,72,56,8,MEFI,Aarón Abraham,Aguayo González,20,20,,,,,,11:00 - 14:00,C2,11:00 - 14:00,C2,11:00 - 14:00,C2,11:00 - 14:00,C2,11:00 - 14:00,C2
Verano 2025,Obligatoria,Señales y Sistemas,,IC(2013),6,15.0,Regular/Acompañamiento,72,72,56,8,MEFI,Gabriel,Murrieta Hernández,25,20,,,,,,11:00 - 14:00,CC1,11:00 - 14:00,CC1,11:00 - 14:00,CC1,11:00 - 14:00,CC1,11:00 - 14:00,CC1
Verano 2025,Obligatoria,Cálculo Diferencial,,IC(2013)-IS(2016)-CC(2016),2,15.0,Regular/Acompañamiento,72,72,56,8,MEFI,Heidy Cecilia,Escamilla Puc,40,10,10,20,,,,11:00 - 14:00,H2,11:00 - 14:00,H2,11:00 - 14:00,H2,11:00 - 14:00,H2,11:00 - 14:00,H2
Verano 2025,Obligatoria,Cálculo Integral,,IC(2013)-IS(2016)-CC(2016),3,15.0,Regular/Acompañamiento,72,72,56,8,MEFI,Lucía Belén,Gamboa Salazar,40,10,10,20,,,,08:00 - 11:00,H1,08:00 - 11:00,H1,08:00 - 11:00,H1,08:00 - 11:00,H1,08:00 - 11:00,H1
Verano 2025,Obligatoria,Inferencia Estadística,,IS(2016)-CC(2016),5_6,7.5,Acompañamiento,36,72,40,7,MEFI,María Auxilio Lucía,Chan García,35,,10,25,,,,11:00 - 13:30,C4,11:00 - 13:30,C4,,,11:00 - 13:30,C4,,
Verano 2025,Obligatoria,Matemáticas Financieras,,A(2014),3,6.0,Acompañamiento,28,56,40,6,MEFI,Mariana,Escalante Barrera,25,,,,,,,08:00 - 11:00,C9,,,08:00 - 11:00,C9,,,,
Verano 2025,Obligatoria,Probabilidad,,IS(2016)-CC(2016),4-5,15.0,Regular/Acompañamiento,72,72,40,7,MEFI,Jesús Enrique,López Flores,35,,10,25,,,,08:00 - 11:00,H4,08:00 - 11:00,H4,08:00 - 11:00,H4,08:00 - 11:00,H4,08:00 - 11:00,H4
Verano 2025,Obligatoria,Métricas de Software,,IS(2016),6,15.0,Regular/Acompañamiento,72,72,40,7,MEFI,Edwin Jesús,León Bojórquez,30,,,30,,,,15:00 - 18:00,CC1,15:00 - 18:00,CC1,15:00 - 18:00,CC1,15:00 - 18:00,CC1,15:00 - 18:00,CC1
Verano 2025,Obligatoria,Programación Orientada a Objetos,,IS(2016)-CC(2016),"3, 4",15.0,Regular/Acompañamiento,72,72,56,8,MEFI,Juan Pablo,Ucán Pech,30,,10,20,,,,11:00 - 14:00,CC8,11:00 - 14:00,CC8,11:00 - 14:00,CC8,11:00 - 14:00,CC8,11:00 - 14:00,CC8
Verano 2025,Obligatoria,Teoría de la Computación,,CC(2016)-IS(2016)-IC(2013),3,15.0,Regular/Acompañamiento,72,72,56,8,MEFI,Alejandro,Pasos Ruiz,30,10,8,12,,,,11:00 - 14:00,H1,11:00 - 14:00,H1,11:00 - 14:00,H1,11:00 - 14:00,H1,11:00 - 14:00,H1
Verano 2025,Optativa,Las Matemáticas y su desarrollo a través del tiempo,,M(2011) - M(2024),1,15.0,Ordinario,67.5,67.5,,9,MEFI - MEYA,Jesús Efrén,Pérez Terrazas,15,,,,,,15,08:00 - 11:00,C4,08:00 - 11:00,C4,08:00 - 11:00,C4,08:00 - 11:00,C4,08:00 - 11:00,C4
verano 2025,Optativa,Curvas elípticas,,M(2011),7,15,ordinario,67.5,67.5,,9,MEYA,Javier Arturo,Díaz Vargas,15,,,,,,15,11:00 - 14:00,C3,11:00 - 14:00,C3,11:00 - 14:00,C3,11:00 - 14:00,C3,11:00 - 14:00,C3
Verano 2025,Obligatoria,Verificación y Validación de Software,,IS(2016),7,12.5,Regular,64,64,32,6,MEFI,Carlos,Miranda Palma,45,,,,,Obligatoria,,09:30 - 12:00,En línea,09:30 - 12:00,En línea,09:30 - 12:00,En línea,09:30 - 12:00,En línea,09:30 - 12:00,En línea
Verano 2025,Optativa,"IA segura: diálogos globales, soluciones desde México",,IS(2016)-CC(2016),7,12.5,Regular,60,60,68,8,MEFI,Silvia,Fernández Sabido,,,10,20,,,,17:00 - 19:30,En línea,17:00 - 19:30,En línea,17:00 - 19:30,En línea,17:00 - 19:30,En línea,17:00 - 19:30,En línea
Verano 2025,Obligatoria,Cálculo Integral,,E(2013),4,17.5,Regular/Acompañamiento,80,80,80,10,MEFI,Felipe de Jesús,Rosado Vázquez,30, , , , ,30, ,07:30 - 11:00,C6,07:30 - 11:00,C6,07:30 - 11:00,C6,07:30 - 11:00,C6,07:30 - 11:00,C6
Verano 2025,Obligatoria,Servicio Social,,IS(2016),7,5,Regular,24, , ,12,MEFI,Luis Ramiro,Basto Díaz,15, , ,15, , , ,12:00 - 14:30,,12:00 - 14:30,,,,,,,